"PCTCD","DistLD","DistCD","Age.Group","gender","IND_ABSENTEE","CDE_PARTY","n"
"AP0022",7,1,"65-74","F","Y","DEM",1
"AP0022",7,1,"75-84","F","N","DEM",1
"AP0023",7,1,"18-34","F","N","DEM",3
"AP0023",7,1,"18-34","F","Y","OTH",2
"AP0023",7,1,"18-34","M","N","DEM",1
"AP0023",7,1,"18-34","M","N","OTH",3
"AP0023",7,1,"35-44","M","N","OTH",1
"AP0023",7,1,"35-44","U","N","DEM",1
"AP0023",7,1,"35-44","U","N","OTH",1
"AP0023",7,1,"45-54","F","N","DEM",4
"AP0023",7,1,"45-54","M","N","DEM",2
"AP0023",7,1,"45-54","M","N","OTH",1
"AP0023",7,1,"45-54","M","N","REP",1
"AP0023",7,1,"45-54","M","Y","DEM",1
"AP0023",7,1,"55-64","F","N","DEM",5
"AP0023",7,1,"55-64","M","N","DEM",1
"AP0023",7,1,"55-64","M","Y","REP",1
"AP0023",7,1,"65-74","F","N","DEM",3
"AP0023",7,1,"65-74","M","N","DEM",1
"AP0023",7,1,"75-84","F","N","DEM",1
"AP0025",7,1,"18-34","M","N","OTH",1
"AP0025",7,1,"45-54","F","N","REP",1
"AP0027",7,1,"18-34","F","N","DEM",2
"AP0027",7,1,"18-34","F","N","OTH",1
"AP0027",7,1,"18-34","F","Y","DEM",1
"AP0027",7,1,"18-34","F","Y","OTH",1
"AP0027",7,1,"18-34","M","N","DEM",1
"AP0027",7,1,"35-44","F","N","DEM",2
"AP0027",7,1,"35-44","F","N","OTH",1
"AP0027",7,1,"35-44","F","Y","OTH",2
"AP0027",7,1,"35-44","M","N","DEM",2
"AP0027",7,1,"35-44","M","N","OTH",1
"AP0027",7,1,"35-44","M","Y","DEM",1
"AP0027",7,1,"35-44","U","N","DEM",1
"AP0027",7,1,"35-44","U","Y","DEM",1
"AP0027",7,1,"45-54","M","Y","DEM",1
"AP0027",7,1,"45-54","U","N","DEM",2
"AP0027",7,1,"55-64","F","N","DEM",3
"AP0027",7,1,"55-64","F","Y","DEM",1
"AP0027",7,1,"55-64","F","Y","OTH",1
"AP0027",7,1,"55-64","M","N","DEM",1
"AP0027",7,1,"55-64","M","Y","DEM",1
"AP0027",7,1,"55-64","M","Y","REP",1
"AP0027",7,1,"65-74","F","N","DEM",3
"AP0027",7,1,"65-74","F","Y","DEM",1
"AP0027",7,1,"65-74","M","N","DEM",3
"AP0027",7,1,"65-74","M","Y","DEM",1
"AP0027",7,1,"75-84","F","Y","DEM",1
"AP0027",7,1,"75-84","M","N","DEM",1
"AP0027",7,1,"Over 85","F","N","DEM",1
"AP0027",7,1,"Over 85","M","N","DEM",1
"AP0029",7,1,"18-34","F","N","DEM",1
"AP0029",7,1,"18-34","M","N","DEM",1
"AP0029",7,1,"35-44","F","N","DEM",1
"AP0029",7,1,"35-44","F","Y","DEM",1
"AP0029",7,1,"35-44","M","N","OTH",1
"AP0029",7,1,"35-44","M","Y","DEM",2
"AP0029",7,1,"45-54","M","N","DEM",2
"AP0029",7,1,"45-54","M","N","OTH",1
"AP0029",7,1,"45-54","M","Y","DEM",1
"AP0029",7,1,"55-64","F","N","DEM",1
"AP0029",7,1,"55-64","F","N","OTH",1
"AP0029",7,1,"55-64","F","Y","DEM",1
"AP0029",7,1,"55-64","M","N","DEM",3
"AP0029",7,1,"Over 85","F","N","DEM",1
"AP0031",7,1,"18-34","F","Y","DEM",1
"AP0031",7,1,"18-34","F","Y","OTH",1
"AP0031",7,1,"18-34","M","N","DEM",2
"AP0031",7,1,"18-34","M","Y","DEM",1
"AP0031",7,1,"18-34","U","Y","DEM",2
"AP0031",7,1,"35-44","M","Y","DEM",1
"AP0031",7,1,"45-54","M","Y","DEM",1
"AP0031",7,1,"55-64","F","N","DEM",2
"AP0031",7,1,"65-74","F","N","DEM",2
"AP0031",7,1,"65-74","F","Y","DEM",1
"AP0031",7,1,"75-84","F","N","DEM",1
"AP0031",7,1,"75-84","U","N","DEM",1
"AP0033",7,1,"18-34","F","N","DEM",5
"AP0033",7,1,"18-34","F","N","OTH",1
"AP0033",7,1,"18-34","F","Y","DEM",2
"AP0033",7,1,"18-34","F","Y","OTH",1
"AP0033",7,1,"18-34","F","Y","REP",1
"AP0033",7,1,"18-34","M","N","DEM",2
"AP0033",7,1,"18-34","M","N","OTH",8
"AP0033",7,1,"18-34","M","N","REP",1
"AP0033",7,1,"18-34","M","Y","DEM",2
"AP0033",7,1,"18-34","U","N","DEM",2
"AP0033",7,1,"18-34","U","N","OTH",3
"AP0033",7,1,"18-34","U","Y","OTH",1
"AP0033",7,1,"35-44","F","N","DEM",5
"AP0033",7,1,"35-44","F","N","OTH",3
"AP0033",7,1,"35-44","F","Y","DEM",1
"AP0033",7,1,"35-44","M","N","DEM",2
"AP0033",7,1,"35-44","M","N","OTH",1
"AP0033",7,1,"45-54","F","N","DEM",4
"AP0033",7,1,"45-54","F","Y","DEM",1
